0.00,353.08,43.56,0.00
0.00,371.08,53.27,0.00
0.00,257.40,59.62,0.00
0.00,246.96,35.92,0.00
0.00,108.96,61.09,0.00
0.00,56.90,66.34,0.00
0.00,351.82,22.05,0.00
0.00,328.01,55.89,0.00
0.00,332.96,24.97,0.00
0.00,57.61,42.99,0.00
0.00,146.83,21.52,0.00
0.00,126.09,65.44,0.00
0.00,486.30,45.18,0.00
0.00,425.99,68.08,0.00
0.00,106.34,66.37,0.00
0.00,412.21,37.76,0.00
0.00,408.15,65.05,0.00
0.00,290.33,46.70,0.00
0.00,247.32,47.50,0.00
0.00,456.76,47.07,0.00
0.00,170.01,67.81,0.00
0.00,480.20,54.19,0.00
0.00,294.91,67.96,0.00
0.00,204.82,26.88,0.00
0.00,442.67,53.14,0.00
0.00,399.69,55.16,0.00
0.00,230.07,50.75,0.00
0.00,288.44,42.52,0.00
0.00,353.60,63.31,0.00
0.00,118.45,34.55,0.00
0.00,443.70,28.38,0.00
0.00,474.23,41.70,0.00
0.00,300.48,39.29,0.00
0.00,230.34,62.98,0.00
0.00,455.51,24.87,0.00
0.00,177.98,20.77,0.00
0.00,492.50,60.81,0.00
0.00,423.73,55.14,0.00
0.00,97.89,58.94,0.00
0.00,168.54,34.73,0.00
0.00,66.01,29.21,0.00
0.00,375.79,33.63,0.00
0.00,414.37,49.48,0.00
0.00,291.61,23.11,0.00
0.00,202.42,58.40,0.00
0.00,364.88,45.87,0.00
0.00,352.96,62.01,0.00
0.00,227.30,65.64,0.00
0.00,361.62,63.44,0.00
0.00,58.59,21.75,0.00
0.00,224.59,66.21,0.00
0.00,172.06,32.79,0.00
0.00,79.01,69.63,0.00
0.00,149.31,46.17,0.00
0.00,58.41,20.82,0.00
0.00,460.96,25.15,0.00
0.00,234.15,40.95,0.00
0.00,314.61,43.46,0.00
0.00,218.11,45.23,0.00
0.00,403.34,21.36,0.00
0.00,269.32,21.29,0.00
0.00,305.72,33.02,0.00
0.00,120.74,31.80,0.00
0.00,132.17,62.93,0.00
0.00,103.12,32.75,0.00
0.00,211.01,68.54,0.00
0.00,273.89,44.19,0.00
0.00,88.13,37.72,0.00
0.00,165.39,65.22,0.00
0.00,384.40,51.88,0.00
0.00,423.76,32.60,0.00
0.00,338.61,28.40,0.00
0.00,149.16,36.75,0.00
